,x,y,z,eps,dx_dt
74,4.958831216351298,-5.103168783648703,0.14433756729740618,0.05,"[0.357558161030344, -0.3996085056363222, 0.04205034460597769, 0.024999999999999994]"
75,5.1986047190431925,-5.331395280956807,0.13279056191361374,0.075,"[0.12574248023253715, -0.08542418643412858, -0.040318293798408844, 0.025]"
76,5.260204283310243,-5.331795716689757,0.07159143337951343,0.1,"[-0.008070483319763788, 0.08983427858499837, -0.08176379526523528, 0.02500000000000001]"
77,5.239969655114602,-5.218030344885397,-0.021939310229205367,0.125,"[0.007780872609549405, 0.09175706308573872, -0.09953793569528685, 0.024999999999999994]"
78,2.507324865405187,-3.0846751345948134,0.5773502691896258,0.0,"[2.16860733949242, -2.3413450414599617, 0.17273770196754362, 0.02500000000000001]"
79,4.109537279602967,-4.840462720397033,0.7309254407940665,0.025,"[1.0383350553163593, -1.204474468493165, 0.1661394131768052, 0.025]"
80,4.691893287340196,-5.604106712659805,0.9122134253196085,0.05,"[0.3346208835230225, -0.4410457831436441, 0.10642489962062116, 0.024999999999999994]"
81,4.92096508410992,-5.847034915890081,0.9260698317801602,0.075,"[0.12308087104677073, -0.08641912895322873, -0.036661742093541005, 0.025]"
82,4.98329669918454,-5.8447033008154605,0.8614066016309216,0.1,"[-0.004836246033555813, 0.09844946825215972, -0.09361322221860363, 0.02500000000000001]"
83,4.963794121796467,-5.728205878203532,0.7644117564070646,0.125,"[0.0029716461385245196, 0.08004307470995364, -0.08301472084848038, 0.024999999999999994]"
84,2.148926841845571,-3.42787315815443,1.2789463163088592,0.0,"[1.7161679173381161, -2.7499273207571213, 1.033759403419005, 0.02500000000000001]"
85,3.42054301815057,-5.48745698184943,2.0669139636988603,0.025,"[0.8357315220098156, -1.3990494303711367, 0.5633179083613217, 0.025]"
86,3.905285378510426,-6.3567146214895764,2.451429242979151,0.05,"[0.27754292378654255, -0.5115237428801245, 0.23398081909358234, 0.024999999999999994]"
87,4.083044798091997,-6.664955201908003,2.5819104038160066,0.075,"[0.08681044176151004, -0.1400228915718209, 0.05321244981031034, 0.025]"
88,4.1184259959384795,-6.70957400406152,2.5911480081230405,0.1,"[-0.02259990330351269, 0.05949533479172553, -0.03689543148821284, 0.02500000000000001]"
89,4.083942656436875,-6.6300573435631245,2.5461146871262503,0.125,"[-0.013451046653437437, 0.040572762870368706, -0.027121716216929936, 0.024999999999999994]"
90,1.8455822913701485,-3.5984177086298517,1.752835417259704,0.0,"[1.5844476682815858, -2.8204666174327, 1.2360189491511122, 0.02500000000000001]"
91,2.9921409291471854,-5.719659070852816,2.7275181417056302,0.025,"[0.7312839614391349, -1.4466731814180083, 0.715389219978873, 0.025]"
92,3.400770099230134,-6.621229900769866,3.2204598015397328,0.05,"[0.20337108619025102, -0.541428913809749, 0.33805782761949954, 0.024999999999999994]"
93,3.5073000453922094,-6.958699954607792,3.4513999092155836,0.075,"[0.040310981562936554, -0.16050568510373053, 0.12019470354079365, 0.025]"
94,3.5264021870473305,-7.01359781295267,3.48719562590534,0.1,"[-0.025110804672717313, 0.053579671517758776, -0.02846886684504102, 0.02500000000000001]"
95,3.513465852929519,-6.9325341470704815,3.4190682941409642,0.125,"[0.04449778316559794, 0.05359540221321879, -0.09809318537881495, 0.024999999999999994]"
96,1.4393661619914764,-3.682833838008524,2.243467676017048,0.0,"[1.053759329833083, -2.9395763844526326, 1.8858170546195505, 0.02500000000000001]"
97,2.282491218170211,-5.872108781829789,3.5896175636595795,0.025,"[0.7066991671404101, -1.4604436900024473, 0.7537445228620373, 0.025]"
